,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
29,0.09375890096028645,0.010419686635335287,0.9554794520547946,0.9931511522961155,True,balanced,entropy,10,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50}",3,0.946611909650924,0.9958890030832477,0.9568788501026694,0.9917780061664954,0.9629629629629629,0.9917864476386037,2.063235439578242e-06,0.007367832684992938,0.006747173286777215,0.0019359559247845758
30,0.02083412806193034,0.00520777702331543,0.947945205479452,0.9907544776733616,True,balanced,entropy,15,10,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 10}",24,0.9342915811088296,0.9948612538540597,0.946611909650924,0.9897225077081192,0.9629629629629629,0.9876796714579056,0.007366820296641712,0.0073649088961876665,0.011740984203525364,0.0030213135040970877
31,0.04686633745829264,0.0,0.952054794520548,0.9934937353725116,True,balanced,entropy,15,20,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 20}",11,0.9404517453798767,0.9958890030832477,0.9548254620123203,0.9928057553956835,0.9609053497942387,0.9917864476386037,1.9182779516096075e-05,0.0,0.008575737919459276,0.0017440809672492929
32,0.06250659624735515,0.005215167999267578,0.952054794520548,0.9955481786468742,True,balanced,entropy,15,30,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 30}",11,0.944558521560575,0.9969167523124358,0.9486652977412731,0.9948612538540597,0.9629629629629629,0.9948665297741273,5.947204250930057e-07,0.007375361314618368,0.007885731758579411,0.0009677301164355748
33,0.07812539736429851,0.005222002665201823,0.9513698630136986,0.9955481786468742,True,balanced,entropy,15,40,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 40}",16,0.9425051334702259,0.9969167523124358,0.9527720739219713,0.9948612538540597,0.9588477366255144,0.9948665297741273,2.7346748442980354e-05,0.007385026991876866,0.00674405390516626,0.0009677301164355748
34,0.09374753634134929,0.010417461395263672,0.9506849315068493,0.9962329930716618,True,balanced,entropy,15,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 50}",17,0.9404517453798767,0.9979445015416238,0.9527720739219713,0.9948612538540597,0.9588477366255144,0.9958932238193019,1.798265536464812e-05,0.007366257595340015,0.007652648380373168,0.0012814539748151642
35,0.02605891227722168,0.0,0.9547945205479452,0.9917815234465405,True,balanced,entropy,20,10,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 10}",5,0.9486652977412731,0.9928057553956835,0.9507186858316222,0.9928057553956835,0.9650205761316872,0.9897330595482546,0.007376726044376546,0.0,0.007271998200780246,0.0014484827134937962
36,0.04686474800109863,0.0,0.952054794520548,0.994178549797299,True,balanced,entropy,20,20,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 20}",11,0.9425051334702259,0.9979445015416238,0.9527720739219713,0.9917780061664954,0.9609053497942387,0.9928131416837782,2.124201164949059e-05,0.0,0.007527690115621149,0.002696253053185947
37,0.05729754765828451,0.0052089691162109375,0.9486301369863014,0.9948630124940822,True,balanced,entropy,20,30,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 30}",20,0.9404517453798767,0.9948612538540597,0.9486652977412731,0.9948612538540597,0.9567901234567902,0.9948665297741273,0.007366988172221059,0.0073665947701281025,0.006669015547883749,2.487092571200871e-06
38,0.0833419958750407,0.0,0.9486301369863014,0.9958904099952658,True,balanced,entropy,20,40,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 40}",20,0.9363449691991786,0.9979445015416238,0.9507186858316222,0.9938335046248715,0.9588477366255144,0.9958932238193019,0.007366313791781086,0.0,0.009303226584511957,0.0016783086427692706
39,0.09896969795227051,0.010417302449544271,0.9493150684931507,0.9962329930716618,True,balanced,entropy,20,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 50}",19,0.9425051334702259,0.9979445015416238,0.9486652977412731,0.9948612538540597,0.9567901234567902,0.9958932238193019,0.007365751910973585,0.007366145206316268,0.0058489136798660964,0.0012814539748151642
